RPM: 2845.5, SPEED: 99.0, RATIO: 28.742424242424242
RPM: 2847.5, SPEED: 99.0, RATIO: 28.762626262626263
RPM: 2840.0, SPEED: 99.0, RATIO: 28.68686868686869
RPM: 2823.5, SPEED: 98.0, RATIO: 28.81122448979592
RPM: 2796.75, SPEED: 98.0, RATIO: 28.538265306122447
RPM: 2777.25, SPEED: 97.0, RATIO: 28.63144329896907
RPM: 2741.0, SPEED: 96.0, RATIO: 28.552083333333332
RPM: 2695.0, SPEED: 94.0, RATIO: 28.670212765957448
RPM: 2651.5, SPEED: 93.0, RATIO: 28.510752688172044
RPM: 2609.5, SPEED: 91.0, RATIO: 28.675824175824175
RPM: 2592.0, SPEED: 90.0, RATIO: 28.8
RPM: 2589.25, SPEED: 90.0, RATIO: 28.769444444444446
RPM: 2568.75, SPEED: 90.0, RATIO: 28.541666666666668
RPM: 2519.0, SPEED: 88.0, RATIO: 28.625
RPM: 2491.5, SPEED: 87.0, RATIO: 28.637931034482758
RPM: 2477.75, SPEED: 86.0, RATIO: 28.811046511627907
RPM: 2456.0, SPEED: 86.0, RATIO: 28.558139534883722
RPM: 2440.5, SPEED: 85.0, RATIO: 28.711764705882352
RPM: 2409.75, SPEED: 84.0, RATIO: 28.6875
RPM: 2392.75, SPEED: 83.0, RATIO: 28.82831325301205
RPM: 2376.75, SPEED: 83.0, RATIO: 28.6355421686747
RPM: 2364.25, SPEED: 82.0, RATIO: 28.83231707317073
RPM: 2343.5, SPEED: 82.0, RATIO: 28.579268292682926
RPM: 2287.5, SPEED: 80.0, RATIO: 28.59375
RPM: 2222.25, SPEED: 78.0, RATIO: 28.490384615384617
RPM: 2171.25, SPEED: 76.0, RATIO: 28.56907894736842
RPM: 2096.75, SPEED: 74.0, RATIO: 28.33445945945946
RPM: 1994.0, SPEED: 70.0, RATIO: 28.485714285714284
RPM: 1919.0, SPEED: 67.0, RATIO: 28.64179104477612
RPM: 1837.25, SPEED: 65.0, RATIO: 28.265384615384615
RPM: 1786.0, SPEED: 63.0, RATIO: 28.349206349206348
RPM: 1716.75, SPEED: 61.0, RATIO: 28.14344262295082
RPM: 1713.5, SPEED: 60.0, RATIO: 28.558333333333334
RPM: 1615.75, SPEED: 59.0, RATIO: 27.385593220338983
RPM: 848.5, SPEED: 59.0, RATIO: 14.38135593220339
RPM: 2071.5, SPEED: 57.0, RATIO: 36.3421052631579
RPM: 2057.0, SPEED: 56.0, RATIO: 36.732142857142854
RPM: 2049.75, SPEED: 56.0, RATIO: 36.60267857142857
RPM: 2066.5, SPEED: 56.0, RATIO: 36.901785714285715
RPM: 2104.5, SPEED: 57.0, RATIO: 36.921052631578945
RPM: 2178.25, SPEED: 59.0, RATIO: 36.91949152542373
RPM: 2280.5, SPEED: 61.0, RATIO: 37.385245901639344
RPM: 2330.75, SPEED: 63.0, RATIO: 36.99603174603175
RPM: 2329.75, SPEED: 64.0, RATIO: 36.40234375
RPM: 2338.75, SPEED: 64.0, RATIO: 36.54296875
RPM: 2363.0, SPEED: 64.0, RATIO: 36.921875
RPM: 2415.5, SPEED: 65.0, RATIO: 37.16153846153846
RPM: 2425.75, SPEED: 66.0, RATIO: 36.753787878787875
RPM: 2418.0, SPEED: 66.0, RATIO: 36.63636363636363
RPM: 2417.25, SPEED: 66.0, RATIO: 36.625
RPM: 2413.5, SPEED: 66.0, RATIO: 36.56818181818182
RPM: 2208.5, SPEED: 66.0, RATIO: 33.46212121212121
